year,Chung,kien_co,ban_kien_co,thieu_kien_co,don_so,
2018,22.4,24.4,23.1,18.4,16.9,
2014,14.9,17.5,13.9,12.0,9.3,
2016,15.6,18.6,15.5,11.6,9.6,
2018,16.4,19.3,16.1,11.1,10.4,
2014,18.2,19.4,15.5,10.9,11.7,
2016,19.9,20.9,20.0,10.9,10.8,
2018,23.1,25.1,16.5,11.6,16.4,
2014,23.1,24.2,21.0,18.0,17.6,
2016,23.8,25.5,20.2,21.1,15.0,
2018,28.3,30.4,22.8,25.4,16.9,
2014,24.1,24.1,16.9,..,32.0,
2016,23.9,24.0,20.7,..,10.0,
2018,26.0,26.1,17.0,0.0,0.0,
2014,19.5,21.7,17.3,5.7,8.2,
2016,23.5,26.3,20.0,16.3,8.2,
2018,23.7,27.7,18.8,6.0,5.8,
2014,27.3,39.4,26.7,17.9,15.2,
2016,27.4,36.7,26.9,18.0,12.1,
2018,28.0,36.5,27.8,16.3,13.8,
2014,22.1,29.7,19.0,16.3,29.6,
2016,20.7,26.9,18.3,12.9,18.0,
2018,21.9,26.1,19.8,20.9,17.5,
2014,19.3,22.7,17.1,14.6,14.4,
2016,20.2,24.5,17.5,14.5,13.1,
2018,21.6,25.8,18.7,14.9,14.3,
2014,23.2,31.6,25.8,18.0,17.5,
2016,24.1,29.8,26.8,19.0,17.5,
2018,24.9,30.9,27.1,17.2,17.2,
2014,20.1,24.2,19.6,14.4,16.6,
2016,19.6,24.4,18.7,15.6,13.8,
2018,20.4,25.3,19.3,16.2,14.6,
2014,18.5,19.1,18.9,12.5,13.1,
2016,19.7,23.5,19.7,10.7,8.1,
2018,21.1,23.5,21.3,12.7,8.5,
2014,25.8,30.9,26.7,17.2,13.0,
2016,27.3,30.8,27.6,20.7,17.1,
2018,28.2,33.3,28.6,17.3,14.4,
2014,21.4,23.6,20.2,14.9,14.3,
2016,22.2,24.7,20.8,14.8,13.8,
2018,23.8,26.4,22.2,15.3,14.6,
2014,23.9,28.1,24.5,17.6,17.0,
2016,24.3,32.3,24.9,15.6,15.6,
2018,25.8,34.4,26.0,15.9,17.7,
2014,23.3,23.6,19.5,6.7,,
2016,25.3,25.7,22.5,10.0,,
2018,28.9,29.3,26.7,13.4,0.0,
2014,18.3,26.8,17.4,15.9,14.3,
2016,17.4,27.4,16.6,14.3,13.3,
2018,21.2,35.2,18.0,15.9,16.9,
2014,13.8,20.6,12.5,10.6,10.1,
2016,15.0,23.8,13.8,11.3,11.1,
2018,16.9,25.3,15.3,12.4,11.4,
2014,27.7,34.5,22.5,13.3,,
2016,26.0,30.5,22.7,11.4,,
2018,26.7,32.9,22.6,0.0,21.0,
2014,22.7,30.7,20.9,15.9,15.1,
2016,22.5,28.7,21.1,17.1,15.6,
2018,23.5,27.9,22.5,19.0,14.0,
2014,18.9,18.3,19.2,12.5,20.7,
2016,19.4,20.7,19.6,10.8,7.6,
2018,21.1,22.5,21.4,12.7,4.9,
2014,18.3,17.1,20.0,13.2,8.0,
2016,18.3,18.4,19.9,10.8,6.6,
2018,21.1,21.7,22.0,10.3,8.8,
2014,21.4,29.7,22.4,15.9,14.9,
2016,22.2,30.3,23.0,16.0,15.4,
2018,24.1,31.2,24.9,16.6,16.0,
2014,23.2,23.7,17.1,11.9,8.2,
2016,24.6,25.0,19.0,15.4,17.8,
2018,26.6,27.1,21.2,16.2,12.0,
2014,21.9,33.3,21.0,19.7,15.1,
2016,23.6,34.0,22.7,23.0,15.0,
2018,23.9,31.5,23.5,25.6,13.5,
2014,19.0,24.0,19.9,15.0,12.1,
2016,20.6,26.0,21.5,14.1,12.6,
2018,22.8,27.1,23.5,15.6,18.2,
